	Author	Ratings	Title	Description
104	chichii	4	Sweet for the price!	Pretty much a done deal for the price you get. At the time of my purchase it was $25, and at that time I was ready to purchase the Roku. The inexpensive price what the main factor. It is a very responsive device. To access control, you are required to use a smartphone, tablet, or PC in which it would be an inconvenience to some. I use my smartphone, which is practically with me all the time, so it is not inconvenient for me to control the Chromecast. However, having its own physical remote would have made it awesome.
105	Bootyeater69	5	Better than the first version	Really like then new design the took on this chromecast. Really makes it stand out from the rest of the media streaming devices on the market
106	Glenn	5	Works Better then the first one	"This unit works great I love it the new unit is better looking and the magnet helps to conceal it

Great product.."
107	finn	5	Better than Fire	I have both Fire Tv and Chromecast. I love chromecast much better because it will cast pages and through google docs, you cast presentations.
108	Daku	5	Better than older version	Super responsive. Cast very quick. I am so happy to own it.
109	TXTECHSALES44	5	Great Upgrade	Much Faster than Original version!!!! Also includes streaming via Bluetooth not just WIFI connections!
110	Qbert	5	It's a chromecast	Seriously, only good things to say about Chromecast. Great product. Had old one. Basically same, only faster. Get one. So many elaborate reviews already, what can I say.
111	Rouny	5	Great device	I purchase the device because I had family coming for the Holidays and I didn't have cable. It was easy to install and everyone was able to catch there favorite shows and more.
112	Starbase134	5	Super smooth!	I have a roku and love it. I bought this for another TV in the living room. I have to say, I'm sad I did not buy it before. It's a cheap 35 bucks and you can stream all the big services. Also, when my buddies come over its nice they can cast with Android and iOS.
113	Star	5	Better than the old version !!	Haven't had any issues, clear and crispy. Easy to installed!!!
114	Blacksuperman305	5	Great google chrome cast for beginner	This is an great buy for an media steaming device for your tv. This product is an amazing device.
115	LilHellion	5	Chromecast at Last!	Why would anyone ever bother paying for cable again? All you need is an antenna to pick up local channels/networks so that you don't miss the news and what not. Not to mention you'd have access to prime time shows, though you wouldn't be able to record them for later. That one-time purchase combined with the one-time purchase of a Google ChromeCast, and your on your way to eliminating your cable bill. ChromeCast is compatible with many monthly TV/movie subscription services (i.e. Hulu, Netflix), which only cost around $8/mo and you get access to almost any show you'd want to see, both old and new. The ChromeCast does connect to your PC, tablet, and phone, via a WiFi connection, and the device you're streaming content from must be connected to that WiFi and ChromeCast to work. So keep your internet service with your provider for sure, and after you decide for yourself, you too will want to cancel your cable service that has been draining your wallet for years. Hope you like it as much as I do!
116	BobG	5	Easy setup and use	This was an excellent choice for me. The setup was easy and getting the unit to work with my Samsung Tablet was just as easy. I like the idea of using the TV screen for my viewing with the Chromecast. I also like the fact that I can pull from my video accounts like Netflix and use those as well. One neat feature is the screensaver. By leaving the Chromecast on display, google-plus shows photos shared from the internet, most are fabulous choices by google....a little music behind this display would make it perfect for white noise and distraction!
